date,contract,total_oi
2026-06-30,CU2612,39987
2026-06-30,CU2701,15574
2026-06-30,CU2702,7095
2026-06-30,CU2703,13384
2026-06-30,CU2704,8039
2026-06-30,CU2705,2917
2026-06-30,CU2706,1558
2026-07-01,CU2607,44610
2026-07-01,CU2608,154212
2026-07-01,CU2609,129138
2026-07-01,CU2610,48743
2026-07-01,CU2611,25615
2026-07-01,CU2612,40345
2026-07-01,CU2701,16026
2026-07-01,CU2702,7089
2026-07-01,CU2703,13492
2026-07-01,CU2704,8173
2026-07-01,CU2705,2922
2026-07-01,CU2706,1697
2026-07-02,CU2607,40810
2026-07-02,CU2608,155464
2026-07-02,CU2609,130847
2026-07-02,CU2610,49995
2026-07-02,CU2611,25104
2026-07-02,CU2612,40711
2026-07-02,CU2701,16229
2026-07-02,CU2702,7164
2026-07-02,CU2703,13795
2026-07-02,CU2704,8174
2026-07-02,CU2705,2939
2026-07-02,CU2706,1679
2026-07-03,CU2607,34740
2026-07-03,CU2608,152135
2026-07-03,CU2609,132766
2026-07-03,CU2610,51210
2026-07-03,CU2611,25820
2026-07-03,CU2612,40944
2026-07-03,CU2701,16491
2026-07-03,CU2702,7247
2026-07-03,CU2703,13905
2026-07-03,CU2704,8167
2026-07-03,CU2705,2933
2026-07-03,CU2706,1706
2026-07-06,CU2607,28495
2026-07-06,CU2608,151621
2026-07-06,CU2609,136795
2026-07-06,CU2610,51821
2026-07-06,CU2611,25802
2026-07-06,CU2612,41583
2026-07-06,CU2701,17078
2026-07-06,CU2702,7270
2026-07-06,CU2703,14088
2026-07-06,CU2704,8204
2026-07-06,CU2705,2920
2026-07-06,CU2706,1709
2026-07-07,CU2607,24485
2026-07-07,CU2608,148515
2026-07-07,CU2609,139669
2026-07-07,CU2610,52272
2026-07-07,CU2611,26050
2026-07-07,CU2612,41999
2026-07-07,CU2701,17095
2026-07-07,CU2702,7272
2026-07-07,CU2703,14124
2026-07-07,CU2704,8192
2026-07-07,CU2705,2913
2026-07-07,CU2706,1775
2026-07-08,CU2607,20020
2026-07-08,CU2608,149665
2026-07-08,CU2609,143330
2026-07-08,CU2610,52432
